Spell Name,Level,School,Ritual,Casting Time,Range,Concentration,Duration,Description,Per Higher Spell Level,Source
Magic Jar,6,Necromancy,,1 minute,Self,,Until Dispelled,"Your body falls into a catatonic state as your soul leaves it and enters the container you used for the spell's material component. While your soul inhabits the container, you are aware of your surroundings as if you were in the container's space. You can't move or use reactions. The only action you can take is to project your soul up to 100 feet out of the container, either returning to your living body (and ending the spell) or attempting to possess a humanoids body.",A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell's duration. Each creature that starts its turn in the line must succeed on a strength saving throw or be pushed 15 feet away from you in a direction following the line.,PHB
Magic Missile,1,Evocation,,1 action,120 ft.,,Instantaneous,"You create three glowing darts of magical force. Each dart hits a creature of your choice that you can see within range. A dart deals 1d4 + 1 force damage to its target. The darts all strike simultaneously, and you can direct them to hit one creature or several.",,PHB
Magic Mouth,2,Illusion,true,1 minute,30 ft.,,Until Dispelled,"You plant a message to an object in the range of the spell. The message is verbalized when the trigger conditions are met. Choose an object that you see, and that is not worn or carried by another creature. Then say the message, which should not exceed 25 words but listening can take up to 10 minutes. Finally, establish the circumstances that trigger the spell to deliver your message.","You touch a point and infuse an area around it with holy (or unholy) power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect a hallow spell. The affected area is subject to the following effects.",PHB
Magic Weapon,2,Transmutation,,1 bonus action,Touch,true,1 hour,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls.","You make natural terrain in a 150-foot cube in range look, sound, and smell like some other sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren't changed in appearance.",PHB
Major Image,3,Illusion,,1 action,120 ft.,true,10 minutes,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 20-foot cube. The image appears at a spot that you can see within range and lasts for the duration. It seems completely real, including sounds, smells, and temperature appropriate to the thing depicted. You can't create sufficient heat or cold to cause damage, a sound loud enough to deal thunder damage or deafen a creature, or a smell that might sicken a creature (like a troglodyte's stench).","You unleash a virulent disease on a creature that you can see within range. The target must make a constitution saving throw. On a failed save, it takes 14d6 necrotic damage, or half as much damage on a successful save. The damage can't reduce the target's hit points below 1. If the target fails the saving throw, its hit point maximum is reduced for 1 hour by an amount equal to the necrotic damage it took. Any effect that removes a disease allows a creature's hit point maximum to return to normal before that time passes.",PHB
Mass Cure Wounds,5,Conjuration,,1 action,60 ft.,,Instantaneous,A wave of healing energy washes out from a point of your choice within range. Choose up to six creatures in a 30-foot-radius sphere centered on that point. Each target regains hit points equal to 3d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,"Choose a willing creature that you can see within range. Until the spell ends, the target's speed is doubled, it gains a +2 bonus to AC, it has advantage on dexterity saving throws, and it gains an additional action on each of its turns. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.",PHB
Mass Heal,9,Conjuration,,1 action,60 ft.,,Instantaneous,"A flood of healing energy flows from you into injured creatures around you. You restore up to 700 hit points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell are also cured of all diseases and any effect making them blinded or deafened. This spell has no effect on undead or constructs.","Choose a creature that you can see within range. A surge of positive energy washes through the creature, causing it to regain 70 hit points. This spell also ends blindness, deafness, and any diseases affecting the target. This spell has no effect on constructs or undead.",PHB
Mass Healing Word,3,Evocation,,1 bonus action,60 ft.,,Instantaneous,"As you call out words of restoration, up to six creatures of your choice that you can see within range regain hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.",A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,PHB
Mass Suggestion,6,Enchantment,,1 action,60 ft.,,24 hours,"You suggest a course of activity (limited to a sentence or two) and magically influence up to twelve creatures of your choice that you can see within range and that can hear and understand you. Creatures that can't be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act automatically negates the effect of the spell.","Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell ends, you can use a bonus action on each of your subsequent turns to cause this damage again.",PHB
Maze,8,Conjuration,,1 action,60 ft.,true,10 minutes,You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze.,"You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.",PHB
Meld into Stone,3,Transmutation,true,1 action,Touch,,8 hours,"You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration. Using your movement, you step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.",,PHB
Melf's Acid Arrow,2,Evocation,,1 action,90 ft.,,Instantaneous,,"A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.",PHB
Mending,0,Transmutation,,1 minute,Touch,,Instantaneous,"This spell repairs a single break or tear in an object you touch, such as a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no longer than 1 foot in any dimension, you mend it, leaving no trace of the former damage.",,PHB
Message,0,Transmutation,,1 action,120 ft.,,1 round,You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.,"Choose a creature you can see and reach. The target must make a saving throw of Wisdom or be paralyzed for the duration of the spell. This spell has no effect against the undead. At the end of each round, the target can make a new saving throw of Wisdom. If successful, the spell ends for the creature.",PHB
Meteor Swarm,9,Evocation,,1 action,1 mile,,Instantaneous,"Blazing orbs of fire plummet to the ground at four different points you can see within range. Each creature in a 40-foot-radius sphere centered on each point you choose must make a dexterity saving throw. The sphere spreads around corners. A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one. A creature in the area of more than one fiery burst is affected only once.","Choose a humanoid that you can see within range. The target must succeed on a wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another wisdom saving throw. On a success, the spell ends on the target.",PHB
Mind Blank,8,Abjuration,,1 action,Touch,,24 hours,"Until the spell ends, one willing creature you touch is immune to psychic damage, any effect that would sense its emotions or read its thoughts, divination spells, and the charmed condition. The spell even foils wish spells and spells or effects of similar power used to affect the target's mind or to gain information about the target.","Divine light washes out from you and coalesces in a soft radiance in a 30-foot radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a 5-foot radius and have advantage on all saving throws, and other creatures have disadvantage on attack rolls against them until the spell ends. In addition, when a fiend or an undead hits an affected creature with a melee attack, the aura flashes with brilliant light. The attacker must succeed on a constitution saving throw or be blinded until the spell ends.",PHB
Minor Illusion,0,Illusion,,1 action,30 ft.,,1 minute,You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again.,,PHB
Mirage Arcane,7,Illusion,,10 minutes,Sight,,10 days,"You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. The terrain's general shape remains the same, however. Open fields or a road could be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.",,PHB
Mirror Image,2,Illusion,,1 action,Self,,1 minute,"Three illusionary duplicates of yourself appear in your space. Until the end of the spell, duplicates move with you and imitate your actions, swapping their position so that it is impossible to determine which image is real. You can use your action to dispel the illusory duplicates.","You create a twisting pattern of colors that weaves through the air inside a 30-foot cube within range. The pattern appears for a moment and vanishes. Each creature in the area who sees the pattern must make a wisdom saving throw. On a failed save, the creature becomes charmed for the duration. While charmed by this spell, the creature is incapacitated and has a speed of 0.",PHB
Mislead,5,Illusion,,1 action,Self,true,1 hour,"You become invisible at the same time that an illusory double of you appears where you are standing. The double lasts for the duration, but the invisibility ends if you attack or cast a spell.","A hail of rock-hard ice pounds to the ground in a 20-foot-radius, 40-foot-high cylinder centered on a point within range. Each creature in the cylinder must make a dexterity saving throw. A creature takes 2d8 bludgeoning damage and 4d6 cold damage on a failed save, or half as much damage on a successful one.",PHB
Misty Step,2,Conjuration,,1 bonus action,Self,,Instantaneous,"Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see.","You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.",PHB
Modify Memory,5,Enchantment,,1 action,30 ft.,true,1 minute,"You attempt to reshape another creature's memories. One creature that you can see must make a wisdom saving throw. If you are fighting the creature, it has advantage on the saving throw. On a failed save, the target becomes charmed by you for the duration. The charmed target is incapacitated and unaware of its surroundings, though it can still hear you. If it takes any damage or is targeted by another spell, this spell ends, and none of the target's memories are modified.","You write on parchment, paper, or some other suitable writing material and imbue it with a potent illusion that lasts for the duration.",PHB
Moonbeam,2,Evocation,,1 action,120 ft.,true,1 minute,"A silvery beam of pale light shines down in a 5-foot radius, 40-foot-high cylinder centered on a point within range. Until the spell ends, dim light fills the cylinder.",You create a magical restraint to hold a creature that you can see within range. The target must succeed on a wisdom saving throw or be bound by the spell,PHB
Mordenkainen's Faithful Hound,4,Conjuration,,1 action,30 ft.,,8 hours,,A swirling cloud of smoke shot through with white-hot embers appears in a 20-foot-radius sphere centered on a point within range. The cloud spreads around corners and is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.,PHB
Mordenkainen's Magnificent Mansion,7,Conjuration,,1 minute,300 ft.,,24 hours,,"Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage.",PHB
Mordenkainen's Private Sanctum,4,Abjuration,,10 minutes,120 ft.,,24 hours,,"Swarming, biting locusts fill a 20-foot-radius sphere centered on a point you choose within range. The sphere spreads around corners. The sphere remains for the duration, and its area is lightly obscured. The sphere's area is difficult terrain.",PHB
Mordenkainen's Sword,7,Evocation,,1 action,60 ft.,true,1 minute,,A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.,PHB
Move Earth,6,Transmutation,,1 action,120 ft.,true,2 hours,"Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area's elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can't exceed half the area's largest dimension. So, if you affect a 40-foot square, you can create a pillar up to 20 feet high, raise or lower the square's elevation by up to 20 feet, dig a trench up to 20 feet deep, and so on. It takes 10 minutes for these changes to complete.",You touch a creature. The creature's jump distance is tripled until the spell ends.,PHB
Nondetection,3,Abjuration,,1 action,Touch,,8 hours,"For the duration, you hide a target that you touch from divination magic. The target can be a willing creature or a place or an object no larger than 10 feet in any dimension. The target can't be targeted by any divination magic or perceived through magical scrying sensors.","Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access.",PHB
Nystul's Magic Aura,2,Illusion,,1 action,Touch,,24 hours,,"Name or describe a person, place, or object. The spell brings to your mind a brief summary of the significant lore about the thing you named. The lore might consist of current tales, forgotten stories, or even secret lore that has never been widely known. If the thing you named isn't of legendary importance, you gain no information. The more information you already have about the thing, the more precise and detailed the information you receive is.",PHB
Otiluke's Freezing Sphere,6,Evocation,,1 action,300 ft.,,Instantaneous,,,PHB
Otiluke's Resilient Sphere,4,Evocation,,1 action,30 ft.,true,1 minute,,,PHB
Otto's Irresistable Dance,6,Enchantment,,1 action,30 ft.,true,1 minute,,"You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.",PHB
Pass without Trace,2,Abjuration,,1 action,Self,true,1 hour,"A veil of shadows and silence radiates from you, masking you and your companions from detection. For the duration, each creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can't be tracked except by magical means. A creature that receives this bonus leaves behind no tracks or other traces of its passage.","One creature or object of your choice that you can see within range rises vertically, up to 20 feet, and remains suspended there for the duration. The spell can levitate a target that weighs up to 500 pounds. An unwilling creature that succeeds on a constitution saving throw is unaffected.",PHB
Passwall,5,Transmutation,,1 action,30 ft.,,1 hour,"A passage appears at a point of your choice that you can see on a wooden, plaster, or stone surface (such as a wall, a ceiling, or a floor) within range, and lasts for the duration. You choose the opening's dimensions: up to 5 feet wide, 8 feet tall, and 20 feet deep. The passage creates no instability in a structure surrounding it.",,PHB
Phantasmal Force,2,Illusion,,1 action,60 ft.,true,1 minute,,,PHB
Phantasmal Killer,4,Illusion,,1 action,120 ft.,true,1 minute,"You tap into the nightmares of a creature you can see within range and create an illusory manifestation of its deepest fears, visible only to that creature. The target must make a wisdom saving throw. On a failed save, the target becomes frightened for the duration. At the start of each of the target's turns before the spell ends, the target must succeed on a wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends.","When you cast this spell using a spell slot of 5th level or higher, the damage increases by 1d10 for each slot level above 4th.",PHB
Phantom Steed,3,Illusion,true,1 minute,30 ft.,,1 hour,"A Large quasi-real, horselike creature appears on the ground in an unoccupied space of your choice within range. You decide the creature's appearance, but it is equipped with a saddle, bit, and bridle. Any of the equipment created by the spell vanishes in a puff of smoke if it is carried more than 10 feet away from the steed.",,PHB
Planar Ally,6,Conjuration,,10 minutes,60 ft.,,Instantaneous,"You beseech an otherworldly entity for aid. The being must be known to you: a god, a primordial, a demon prince, or some other being of cosmic power. That entity sends a celestial, an elemental, or a fiend loyal to it to aid you, making the creature appear in an unoccupied space within range. If you know a specific creature's name, you can speak that name when you cast this spell to request that creature, though you might get a different creature anyway (DM's choice).",,PHB
Planar Binding,5,Abjuration,,1 hour,60 ft.,,24 hours,"With this spell, you attempt to bind a celestial, an elemental, a fey, or a fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of an inverted magic circle in order to keep it trapped while this spell is cast.) At the completion of the casting, the target must make a charisma saving throw. On a failed save, it is bound to serve you for the duration. If the creature was summoned or created by another spell, that spell's duration is extended to match the duration of this spell.","When you cast this spell using a spell slot of a higher level, the duration increases to 10 days with a 6th-level slot, to 30 days with a 7th-level slot, to 180 days with an 8th-level slot, and to a year and a day with a 9th-level spell slot.",PHB
Plane Shift,7,Conjuration,,1 action,Touch,,Instantaneous,"You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination. If you are trying to reach the City of Brass, for example, you might arrive in its Street of Steel, before its Gate of Ashes, or looking at the city from across the Sea of Fire, at the DM's discretion.",,PHB
Plant Growth,3,Transmutation,,1 action or 8 hours,150 ft.,,Instantaneous,"This spell channels vitality into plants within a specific area. There are two possible uses for the spell, granting either immediate or long-term benefits.",,PHB
Poison Spray,0,Conjuration,,1 action,10 ft.,,Instantaneous,You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a constitution saving throw or take 1d12 poison damage.,,PHB
Polymorph,4,Transmutation,,1 action,60 ft.,true,1 hour,This spell transforms a creature that you can see within range into a new form. An unwilling creature must make a wisdom saving throw to avoid the effect. A shapechanger automatically succeeds on this saving throw.,,PHB
Power Word Heal,9,Evocation,,1 action,Touch,,Instantaneous,,,PHB
Power Word Kill,9,Enchantment,,1 action,60 ft.,,Instantaneous,"You utter a word of power that can compel one creature you can see within range to die instantly. If the creature you choose has 100 hit points or fewer, it dies. Otherwise, the spell has no effect.",,PHB
Power Word Stun,8,Enchantment,,1 action,60 ft.,,Instantaneous,"You speak a word of power that can overwhelm the mind of one creature you can see within range, leaving it dumbfounded. If the target has 150 hit points or fewer, it is stunned. Otherwise, the spell has no effect.",,PHB
Prayer of Healing,2,Evocation,,10 minutes,30 ft.,,Instantaneous,Up to six creatures of your choice that you can see within range each regain hit points equal to 2d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,"When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d8 for each slot level above 2nd.",PHB
Prestidigitation,0,Transmutation,,1 action,10 ft.,,1 hour,This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within 'range':,,PHB
Prismatic Spray,7,Evocation,,1 action,Self,,Instantaneous,"Eight multicolored rays of light flash from your hand. Each ray is a different color and has a different power and purpose. Each creature in a 60-foot cone must make a dexterity saving throw. For each target, roll a d8 to determine which color ray affects it.",,PHB
Prismatic Wall,9,Abjuration,,1 action,60 ft.,,Instantaneous,"A shimmering, multicolored plane of light forms a vertical opaque wall--up to 90 feet long, 30 feet high, and 1 inch thick--centered on a point you can see within range. Alternatively, you can shape the wall into a sphere up to 30 feet in diameter centered on a point you choose within range. The wall remains in place for the duration. If you position the wall so that it passes through a space occupied by a creature, the spell fails, and your action and the spell slot are wasted.",,PHB
Produce Flame,0,Conjuration,,1 action,Self,,10 minutes,A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again.,,PHB
Programmed Illusion,6,Illusion,,1 action,120 ft.,,Until Dispelled,"You create an illusion of an object, a creature, or some other visible phenomenon within range that activates when a specific condition occurs. The illusion is imperceptible until then. It must be no larger than a 30-foot cube, and you decide when you cast the spell how the illusion behaves and what sounds it makes. This scripted performance can last up to 5 minutes.",,PHB
Project Image,7,Illusion,,1 action,500 miles,true,1 day,"You create an illusory copy of yourself that lasts for the duration. The copy can appear at any location within range that you have seen before, regardless of intervening obstacles. The illusion looks and sounds like you but is intangible. If the illusion takes any damage, it disappears, and the spell ends.",,PHB
Protection from Energy,3,Abjuration,,1 action,Touch,true,1 hour,"For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.",,PHB
Protection from Evil and Good,1,Abjuration,,1 action,Touch,true,10 minutes,"Until the spell ends, one willing creature you touch is protected against certain types of creatures: aberrations, celestials, elementals, fey, fiends, and undead.",,PHB
Protection from Poison,2,Abjuration,,1 action,Touch,,1 hour,"You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.",,PHB
Purify Food and Drink,1,Transmutation,true,1 action,10 ft.,,Instantaneous,All nonmagical food and drink within a 5-foot radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.,,PHB
Raise Dead,5,Necromancy,,1 hour,Touch,,Instantaneous,"You return a dead creature you touch to life, provided that it has been dead no longer than 10 days. If the creature's soul is both willing and at liberty to rejoin the body, the creature returns to life with 1 hit point.",,PHB
Rary's Telepathic Bond,5,Divination,true,1 action,30 ft.,,1 hour,,,PHB
Ray of Enfeeblement,2,Necromancy,,1 action,60 ft.,true,1 minute,"A black beam of enervating energy springs from your finger toward a creature within range. Make a ranged spell attack against the target. On a hit, the target deals only half damage with weapon attacks that use Strength until the spell ends.",,PHB
Ray of Frost,0,Evocation,,1 action,60 ft.,,Instantaneous,"A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.",,PHB
Ray of Sickness,1,Necromancy,,1 action,60 ft.,,Instantaneous,,,PHB
Regenerate,7,Transmutation,,1 minute,Touch,,1 hour,"You touch a creature and stimulate its natural healing ability. The target regains 4d8 + 15 hit points. For the duration of the spell, the target regains 1 hit point at the start of each of its turns (10 hit points each minute).",,PHB
Reincarnate,5,Transmutation,,1 hour,Touch,,Instantaneous,"You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body. If the target's soul isn't free or willing to do so, the spell fails.",,PHB
Remove Curse,3,Abjuration,,1 action,Touch,,Instantaneous,"At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner's attunement to the object so it can be removed or discarded.",,PHB
Resistance,0,Abjuration,,1 action,Touch,true,1 minute,"You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends.",,PHB
Resurrection,7,Necromancy,,1 hour,Touch,,Instantaneous,"You touch a dead creature that has been dead for no more than a century, that didn't die of old age, and that isn't undead. If its soul is free and willing, the target returns to life with all its hit points.",,PHB
Reverse Gravity,7,Transmutation,,1 action,100 ft.,true,1 minute,"This spell reverses gravity in a 50-foot-radius, 100-foot high cylinder centered on a point within range. All creatures and objects that aren't somehow anchored to the ground in the area fall upward and reach the top of the area when you cast this spell. A creature can make a dexterity saving throw to grab onto a fixed object it can reach, thus avoiding the fall.",,PHB
Revivify,3,Conjuration,,1 action,Touch,,Instantaneous,"You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can't return to life a creature that has died of old age, nor can it restore any missing body parts.",,PHB
Rope Trick,2,Transmutation,,1 action,Touch,,1 hour,"You touch a length of rope that is up to 60 feet long. One end of the rope then rises into the air until the whole rope hangs perpendicular to the ground. At the upper end of the rope, an invisible entrance opens to an extradimensional space that lasts until the spell ends.",,PHB
Sacred Flame,0,Evocation,,1 action,60 ft.,,Instantaneous,Flame-like radiance descends on a creature that you can see within range. The target must succeed on a dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.,,PHB
Sanctuary,1,Abjuration,,1 bonus action,30 ft.,,1 minute,"You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or a harmful spell must first make a wisdom saving throw. On a failed save, the creature must choose a new target or lose the attack or spell. This spell doesn't protect the warded creature from area effects, such as the explosion of a fireball.",,PHB
Scorching Ray,2,Evocation,,1 action,120 ft.,,Instantaneous,You create three rays of fire and hurl them at targets within range. You can hurl them at one target or several.,"When you cast this spell using a spell slot of 3rd level or higher, you create one additional ray for each slot level above 2nd.",PHB
Scrying,5,Divination,,10 minutes,Self,true,10 minutes,"You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it. If a target knows you're casting this spell, it can fail the saving throw voluntarily if it wants to be observed.",,PHB
Searing Smite,1,Evocation,,1 bonus action,Self,true,1 minute,,,PHB
See Invisibility,2,Divination,,1 action,Self,,1 hour,"For the duration of the spell, you see invisible creatures and objects as if they were visible, and you can see through Ethereal. The ethereal objects and creatures appear ghostly translucent.",,PHB
Seeming,5,Illusion,,1 action,30 ft.,,8 hours,"This spell allows you to change the appearance of any number of creatures that you can see within range. You give each target you choose a new, illusory appearance. An unwilling target can make a charisma saving throw, and if it succeeds, it is unaffected by this spell.",,PHB
Sending,3,Evocation,,1 action,Unlimited,,1 round,"You send a short message of twenty-five words or less to a creature with which you are familiar. The creature hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables creatures with Intelligence scores of at least 1 to understand the meaning of your message.",,PHB
Sequester,7,Transmutation,,1 action,Touch,,Until Dispelled,"By means of this spell, a willing creature or an object can be hidden away, safe from detection for the duration. When you cast the spell and touch the target, it becomes invisible and can't be targeted by divination spells or perceived through scrying sensors created by divination spells.",,PHB
Shapechange,9,Transmutation,,1 action,Self,true,1 hour,"You assume the form of a different creature for the duration. The new form can be of any creature with a challenge rating equal to your level or lower. The creature can't be a construct or an undead, and you must have seen the sort of creature at least once. You transform into an average example of that creature, one without any class levels or the Spellcasting trait.",,PHB
Shatter,2,Evocation,,1 action,60 ft.,,Instantaneous,"A strong resonant sound painfully intense sounds of a desired point in the range of the spell. Each creature has a sphere with a 10-foot-radius sphere centered on that point must make a constitution saving throw or it suffers 3d8 thunder damage. If successful, the damage is halved. A creature made of inorganic materials such as stone, crystal or metal, makes its saving throw with a disadvantage.","When you cast this spell using a 3 or higher level spell slot, the damage of the spell increases by 1d8 for each level of higher spell slot 2.",PHB
Shield,1,Abjuration,,1 reaction (on hit by attack/magic missile),Self,,1 round,"An invisible barrier of magical force appears and protects you. Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack, and you take no damage from magic missile.",,PHB
Shield of Faith,1,Abjuration,,1 bonus action,60 ft.,true,10 minutes,"A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.",,PHB
Shillelagh,0,Transmutation,,1 bonus action,Touch,,1 minute,"The wood of a club or a quarterstaff you are holding is imbued with nature's power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. The weapon also becomes magical, if it isn't already. The spell ends if you cast it again or if you let go of the weapon.",,PHB
Shocking Grasp,0,Evocation,,1 action,Touch,,Instantaneous,"Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.",,PHB
Silence,2,Illusion,true,1 action,120 ft.,true,10 minutes,"For the duration, no sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it.",,PHB
Silent Image,1,Illusion,,1 action,60 ft.,true,10 minutes,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 15-foot cube. The image appears at a spot within range and lasts for the duration. The image is purely visual"," it isn't accompanied by sound, smell, or other sensory effects.",PHB
Simulacrum,7,Illusion,,12 hours,Touch,,Until Dispelled,"You shape an illusory duplicate of one beast or humanoid that is within range for the entire casting time of the spell. The duplicate is a creature, partially real and formed from ice or snow, and it can take actions and otherwise be affected as a normal creature. It appears to be the same as the original, but it has half the creature's hit point maximum and is formed without any equipment. Otherwise, the illusion uses all the statistics of the creature it duplicates.",,PHB
Sleep,1,Enchantment,,1 action,90 ft.,,1 minute,"This spell sends creatures into a magical slumber. Roll 5d8,  the total is how many hit points of creatures this spell can affect. Creatures within 20 feet of a point you choose within range are affected in ascending order of their current hit points (ignoring unconscious creatures).","When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d8 for each slot level above 1st.",PHB
Sleet Storm,3,Conjuration,,1 action,150 ft.,true,1 minute,"Until the spell ends, freezing rain and sleet fall in a 20-foot-tall cylinder with a 40-foot radius centered on a point you choose within range. The area is heavily obscured, and exposed flames in the area are doused.",,PHB
Slow,3,Transmutation,,1 action,120 ft.,true,1 minute,You alter time around up to six creatures of your choice in a 40-foot cube within range. Each target must succeed on a wisdom saving throw or be affected by this spell for the duration.,,PHB
Spare the Dying,0,Necromancy,,1 action,Touch,,Instantaneous,You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.,,PHB
Speak with Animals,1,Divination,true,1 action,Self,,10 minutes,"You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at a minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day. You might be able to persuade a beast to perform a small favor for you, at the DM's discretion.",,PHB
Speak with Dead,3,Necromancy,,1 action,10 ft.,,10 minutes,"You grant the semblance of life and intelligence to a corpse of your choice within range, allowing it to answer the questions you pose. The corpse must still have a mouth and can't be undead. The spell fails if the corpse was the target of this spell within the last 10 days.",,PHB
Speak with Plants,3,Transmutation,,1 action,Self,,10 minutes,"You imbue plants within 30 feet of you with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past day, gaining information about creatures that have passed, weather, and other circumstances.",,PHB
